method,path,module,controller,auth,csrf,caller,downstream,audience,scope,request_model,response_model,tenant_company_binding,campaign_binding,idempotency,rate_limit_expectation,middleware_only,browser_allowed,provider_callback,status
GET,/api/v1/integration/observability/sync-status,codestra_observability_integration,CodestraKyyowObservabilityApi.sync_status,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/codestra/sso/login,codestra_orbit_theme,CodestraOrbitSso.login,none,NO,PUBLIC,ODOO_ORM,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,REVIEW_SUDO
GET,/codestra/sso/callback,codestra_orbit_theme,CodestraOrbitSso.callback,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,YES,NO,YES,REVIEW_SUDO
POST,/codestra/sso/logout,codestra_orbit_theme,CodestraOrbitSso.logout,user,YES,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,REVIEW_SUDO
ANY,INHERITED_ROUTE:OAuthLogin,codestra_orbit_theme,CodestraOrbitLogin.web_login,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,REVIEW_SUDO
ANY,INHERITED_ROUTE:Session,codestra_orbit_theme,CodestraOrbitSession.logout,user,DEFAULT,BROWSER_USER,NONE,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
GET,/codestra/workspace,codestra_orbit_theme,CodestraWorkspaceEntry.workspace,public,DEFAULT,PUBLIC,NONE,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,CANDIDATE
ANY,INHERITED_ROUTE:CodestraIntegrationApiController,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.create_result,user+controller_service_identity,DEFAULT,BROWSER_USER,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,YES,NO,REVIEW_SUDO
GET,/api/v1/integration/telephony/projections/<string:projection_public_id>,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.read_telephony_projection,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/telephony/projections,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.search_telephony_projections,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/telephony/mappings/<string:mapping_public_id>,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.read_telephony_mapping,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/telephony/mappings,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.search_telephony_mappings,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/reconciliation/runs/<string:run_public_id>,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.read_reconciliation_run,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/api/v1/integration/reconciliation/drifts/<string:drift_public_id>,codestra_telephony_bridge,CodestraTelephonyIntegrationApiController.read_reconciliation_drift,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/codestra/api/v1/health,codestra_vicidial_crm,CodestraAPI.health,none,NO,PUBLIC,NONE,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,NO,NO,CANDIDATE
POST,/codestra/api/v1/events,codestra_vicidial_crm,CodestraAPI.events,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/codestra/api/v1/call-events,codestra_vicidial_crm,CodestraAPI.call_events,none,NO,NONE_RETIRED,NONE,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,RETIRED
POST,/codestra/api/v1/sync/preview,codestra_vicidial_crm,CodestraAPI.preview,user,NO,BROWSER_USER,NONE,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/current,codestra_vicidial_crm,CallControlAPI.current,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,YES,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/match,codestra_vicidial_crm,CallControlAPI.match,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/dialpad,codestra_vicidial_crm,CallControlAPI.dialpad,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/outbound,codestra_vicidial_crm,CallControlAPI.outbound,user,DEFAULT,BROWSER_USER,ODOO_ORM,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,YES,NO,REVIEW_SUDO
POST,/codestra/call-control/v1/calls/<string:call_id>/<string:action>,codestra_vicidial_crm,CallControlAPI.action,user,DEFAULT,BROWSER_USER,ODOO_ORM,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,YES,NO,REVIEW_SUDO
POST,/codestra/call-control/v1/calls/<string:call_id>/notes,codestra_vicidial_crm,CallControlAPI.notes,user,DEFAULT,BROWSER_USER,ODOO_ORM,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,YES,NO,REVIEW_SUDO
POST,/codestra/call-control/v1/calls/<string:call_id>/disposition,codestra_vicidial_crm,CallControlAPI.disposition,user,DEFAULT,BROWSER_USER,ODOO_ORM,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,YES,NO,REVIEW_SUDO
POST,/codestra/call-control/v1/calls/<string:call_id>/workspace,codestra_vicidial_crm,CallControlAPI.workspace,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/calls/<string:call_id>/callbacks,codestra_vicidial_crm,CallControlAPI.callback,user,DEFAULT,BROWSER_USER,ODOO_ORM,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,YES,YES,REVIEW_SUDO
POST,/codestra/call-control/v1/calls/<string:call_id>/callbacks/<int:callback_id>/<string:action>,codestra_vicidial_crm,CallControlAPI.callback_lifecycle,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,YES,NO,NO,KONG/MIDDLEWARE,NO,YES,YES,CANDIDATE
POST,/codestra/call-control/v1/calls/<string:call_id>/history,codestra_vicidial_crm,CallControlAPI.history,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/calls/<string:call_id>/record-opened,codestra_vicidial_crm,CallControlAPI.record_opened,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,YES,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/calls/<string:call_id>/recording/playback,codestra_vicidial_crm,CallControlAPI.recording_playback,user,DEFAULT,BROWSER_USER,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,YES,YES,NO,REVIEW_SUDO
POST,/codestra/call-workspace/v1/calls/search,codestra_vicidial_crm,CallControlAPI.call_search,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/calls/<string:call_id>/detail,codestra_vicidial_crm,CallControlAPI.call_detail,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/supervisor/dashboard,codestra_vicidial_crm,CallControlAPI.supervisor_dashboard,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/calls/<string:call_id>/qa,codestra_vicidial_crm,CallControlAPI.qa_score,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/qa/<int:review_id>/coaching,codestra_vicidial_crm,CallControlAPI.create_coaching,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,YES,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/coaching/<int:coaching_id>/acknowledge,codestra_vicidial_crm,CallControlAPI.acknowledge_coaching,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,NO,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-workspace/v1/calls/<string:call_id>/tasks,codestra_vicidial_crm,CallControlAPI.create_follow_up,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,NOT_DETECTED,INLINE,INLINE,YES,NO,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/call-control/v1/match,codestra_vicidial_crm,ScopedCallControlAPI.match,user,DEFAULT,BROWSER_USER,ODOO_ORM,INTERNAL_OR_BROWSER,DECLARED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,NO,YES,NO,CANDIDATE
POST,/codestra/middleware/v1/call-events,codestra_vicidial_crm,CodestraCallEventProjectionAPI.project,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/codestra/middleware/v1/call-events/<string:event_id>/status,codestra_vicidial_crm,CodestraCallEventProjectionAPI.status,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,MIDDLEWARE_CLIENT,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,NO,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/codestra/calling/v1/bootstrap,codestra_vicidial_crm,CallingRealtimeAPI.bootstrap,user,DEFAULT,BROWSER_USER,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,YES,YES,NO,CANDIDATE
POST,/codestra/calling/v1/session,codestra_vicidial_crm,CallingRealtimeAPI.session,user,DEFAULT,BROWSER_USER,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,YES,NO,KONG/MIDDLEWARE,YES,YES,NO,CANDIDATE
POST,/codestra/calling/v1/projection,codestra_vicidial_crm,CallingRealtimeAPI.projection,user,DEFAULT,BROWSER_USER,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,YES,NO,CANDIDATE
POST,/codestra/calling/v1/reconciliation,codestra_vicidial_crm,CallingRealtimeAPI.reconciliation,user,DEFAULT,BROWSER_USER,ODOO_ORM,MIDDLEWARE,DECLARED,INLINE,INLINE,YES,YES,YES,KONG/MIDDLEWARE,YES,YES,NO,REVIEW_SUDO
POST,/codestra/api/v1/recordings/upsert,codestra_vicidial_recording,RecordingAPI.upsert,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
GET,/codestra/api/v1/recordings/<string:recording_uid>,codestra_vicidial_recording,RecordingAPI.get_recording,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
POST,/codestra/api/v1/recordings/<string:recording_uid>/status,codestra_vicidial_recording,RecordingAPI.update_status,none+controller_service_identity,NO,MIDDLEWARE_SERVICE,ODOO_ORM,MIDDLEWARE,NOT_DETECTED,INLINE,INLINE,NO,YES,YES,KONG/MIDDLEWARE,YES,NO,NO,REVIEW_SUDO
